type, lab,  x, p.raw, p.adj, p.025, p.975
 swo, 0-1,  1,  .146,  .164,  .098,  .230
 swo,   2,  2,  .411,  .434,  .333,  .535
 swo,   3,  3,  .185,  .152,  .096,  .209
 swo,   4,  4,  .132,  .131,  .070,  .192
 swo,   5,  5,  .126,  .118,  .060,  .176
 swr,   1,  1,  .084,  .100,  .019,  .181
 swr,   2,  2,  .078,  .085,  .032,  .138
 swr,   3,  3,  .113,  .159,  .098,  .219
 swr,   4,  4,  .110,  .100,  .045,  .156
 swr,   5,  5,  .104,  .081,  .038,  .123
 swr,   6,  6,  .104,  .107,  .058,  .155
 swr,  7+, 99,  .408,  .369,  .264,  .473
 npp,   0,  0,  .117,  .125,  .048,  .201
 npp,   1,  1,  .530,  .508,  .429,  .587
 npp,   2,  2,  .232,  .236,  .168,  .303
 npp,   3,  3,  .121,  .132,  .072,  .191
